District,Location,Area,Bedrooms,Price
Wayanad,Near Highway,1644,6,7350174
Kozhikode,Beach Road,1008,6,5889034
Wayanad,Residential Area,2297,4,8444713
Idukki,Suburbs,1885,5,6730907
Thrissur,Viyyur,3618,2,14178740
Kottayam,Nagampadam,3310,4,12718885
Pathanamthitta,Suburbs,4138,6,14541607
Alappuzha,Suburbs,1282,3,3842729
Pathanamthitta,Near Highway,3272,6,9951967
Kannur,Suburbs,4006,4,12620033
Trivandrum,Kowdiar,3059,1,12149093
Wayanad,Residential Area,1277,1,3280426
Trivandrum,Kazhakkoottam,3002,2,13394855
Thrissur,Swaraj Round,2378,6,10972318
Idukki,Residential Area,3919,5,11295084
Ernakulam,Palarivattom,4292,6,21798742
Palakkad,Near Highway,2306,3,6630437
Wayanad,Near Highway,2328,3,7024412
Kottayam,Nagampadam,3520,4,14665785
Kozhikode,Nadakkavu,635,4,4006514
Pathanamthitta,Rural Area,4751,3,14410975
Kannur,Residential Area,3775,3,12991522
Palakkad,Rural Area,1394,6,5929318
Kozhikode,Mananchira,2534,2,10367668
Wayanad,Near Highway,2711,3,8514530
Kozhikode,Mananchira,1367,1,5565652
Kottayam,Kanjikuzhy,1639,6,7697853
Wayanad,Rural Area,1833,1,5727443
Alappuzha,Town Center,1603,5,6553445
Kannur,Rural Area,3713,1,10654673
Alappuzha,Town Center,1657,3,6372828
Trivandrum,Technopark,2905,3,13435648
Kollam,Near Highway,4248,6,14516660
Wayanad,Town Center,4074,1,14078951
Kottayam,Kanjikuzhy,4322,2,17500852
Wayanad,Rural Area,3086,1,9020918
Kasargod,Suburbs,4543,6,13801449
Trivandrum,Vellayambalam,684,3,3727069
Trivandrum,Vellayambalam,3222,6,15602399
Malappuram,Town Center,808,2,3226149
Trivandrum,Technopark,3683,4,17613641
Palakkad,Town Center,3685,6,11192742
Pathanamthitta,Near Highway,4676,3,16610617
Ernakulam,Kochi,3558,6,19051384
Thrissur,Viyyur,4611,3,18046739
Kasargod,Rural Area,3801,1,12721000
Trivandrum,Vellayambalam,2856,6,15368926
Trivandrum,Vellayambalam,4319,6,19498976
Kottayam,Pala,869,4,4301247
Kozhikode,Nadakkavu,697,4,3538407
Kannur,Suburbs,2923,3,9131756
Thrissur,Poonkunnam,4631,5,21241696
Kozhikode,Nadakkavu,1505,2,6346800
Alappuzha,Town Center,1323,2,4586973
Thrissur,Ayyanthole,740,3,3628604
Kasargod,Residential Area,1775,5,6657231
Trivandrum,Vellayambalam,3761,5,20454300
Kottayam,Ettumanoor,2790,3,9519630
Ernakulam,Kakkanad,1772,4,9235956
Pathanamthitta,Suburbs,1455,1,4705483
Palakkad,Residential Area,3850,1,11886510
Thrissur,Poonkunnam,2198,6,10865030
Malappuram,Residential Area,3042,5,11329552
Malappuram,Near Highway,1105,1,2815668
Trivandrum,Kazhakkoottam,3924,5,17024312
Malappuram,Town Center,4507,5,14070209
Kottayam,Baker Junction,2362,5,9430229
Alappuzha,Near Highway,3489,3,12274105
Idukki,Residential Area,1883,1,6073403
Palakkad,Residential Area,3396,6,9966248
Wayanad,Near Highway,3863,3,13963499
Kozhikode,Mananchira,1505,1,6120986
Idukki,Rural Area,1150,3,3992993
Alappuzha,Suburbs,1002,6,3979257
Kasargod,Suburbs,3027,2,9349756
Thrissur,Swaraj Round,977,2,3703388
Kozhikode,Beach Road,3939,2,15387104
Kannur,Town Center,1299,6,6130632
Idukki,Rural Area,2209,6,8506817
Kollam,Rural Area,3500,6,12003596
Kottayam,Nagampadam,4310,4,14993400
Kozhikode,West Hill,3379,6,13973428
Wayanad,Town Center,1989,1,5952110
Kasargod,Near Highway,3857,2,11180931
Kozhikode,Nadakkavu,2399,3,9190265
Thrissur,Ayyanthole,835,2,3425454
Kottayam,Kanjikuzhy,2464,5,9874612
Kannur,Residential Area,2487,3,7980547
Kannur,Rural Area,3832,4,11967178
Kollam,Town Center,1185,1,4094505
Malappuram,Town Center,3387,6,10689488
Alappuzha,Town Center,3336,2,11435344
Kasargod,Town Center,2919,1,8311470
Kottayam,Pala,2379,4,8223449
Ernakulam,Edappally,1295,2,6139537
Pathanamthitta,Town Center,4081,1,10819705
Kasargod,Rural Area,2256,6,7460891
Thrissur,Ayyanthole,3369,1,11993435
Kozhikode,West Hill,1999,5,10355081
Palakkad,Suburbs,722,4,3317897
Malappuram,Town Center,1528,4,4996356
Wayanad,Suburbs,4603,6,16788899
Idukki,Residential Area,3662,6,13398056
Alappuzha,Suburbs,842,3,2982069
Pathanamthitta,Town Center,1705,2,4760418
Ernakulam,Kochi,4262,3,23099407
Idukki,Suburbs,4574,3,14035893
Kollam,Residential Area,3743,3,12373265
Kannur,Suburbs,2806,5,9301915
Kozhikode,Beach Road,1701,6,8274282
Alappuzha,Suburbs,2987,3,8187142
Kasargod,Suburbs,4967,4,15177770
Thrissur,Ayyanthole,4574,4,17722883
Malappuram,Rural Area,4728,5,13484713
Kottayam,Ettumanoor,2733,6,9654885
Ernakulam,Kochi,3418,6,19578261
Alappuzha,Suburbs,4362,5,13822199
Kannur,Town Center,757,3,2540816
Kozhikode,Beach Road,4208,3,18594394
Kozhikode,Nadakkavu,1540,4,7022475
Kozhikode,Mavoor Road,4752,2,17997792
Alappuzha,Residential Area,3165,6,9557065
Kozhikode,Mananchira,2803,2,10850177
Kottayam,Baker Junction,3806,3,13122521
Palakkad,Town Center,1280,5,4969336
Kollam,Residential Area,4671,6,13706058
Kannur,Town Center,3359,4,10402388
Kozhikode,Mananchira,4721,5,22275909
Idukki,Residential Area,1639,5,6290728
Kollam,Rural Area,2128,3,7166799
Pathanamthitta,Near Highway,4607,5,17158917
Idukki,Rural Area,2862,4,10249506
Kannur,Near Highway,4931,6,19463658
Malappuram,Residential Area,4885,3,13899020
Kasargod,Town Center,1268,2,3733836
Kollam,Residential Area,1487,6,4802835
Thrissur,Swaraj Round,4260,2,15053611
Wayanad,Rural Area,3549,2,11451741
Trivandrum,Technopark,2837,4,12592778
Idukki,Residential Area,2416,6,9045997
Idukki,Suburbs,1501,5,5270134
Idukki,Residential Area,562,6,3893278
Pathanamthitta,Suburbs,583,2,2132220
Kottayam,Ettumanoor,4709,3,15294979
Ernakulam,Kakkanad,1798,3,9186421
Thrissur,Swaraj Round,1573,4,6966526
Palakkad,Suburbs,1560,3,5625611
Wayanad,Residential Area,4741,6,14785344
Kasargod,Town Center,4197,6,15165106
Kannur,Suburbs,4934,2,16457946
Kannur,Town Center,840,2,2858291
Alappuzha,Residential Area,2901,4,9876915
Trivandrum,Vellayambalam,4196,1,17405646
Idukki,Rural Area,1223,4,5036460
Idukki,Town Center,2515,4,8200409
Idukki,Near Highway,3433,5,12574283
Palakkad,Residential Area,4715,3,12449895
Kozhikode,Nadakkavu,1875,1,6923046
Ernakulam,Kakkanad,3966,4,19071241
Kasargod,Near Highway,507,1,1793409
Trivandrum,Vellayambalam,4764,3,23951003
Kasargod,Suburbs,3721,1,9877045
Palakkad,Town Center,3139,3,11493523
Thrissur,Olarikkara,3883,1,13943537
Wayanad,Rural Area,3735,6,12494381
Wayanad,Residential Area,3060,3,8102879
Trivandrum,Kazhakkoottam,1443,6,8684948
Alappuzha,Rural Area,2011,4,6487288
Kollam,Suburbs,1684,5,5179642
Trivandrum,Kazhakkoottam,920,1,3814893
Thrissur,Viyyur,4027,2,14275056
Wayanad,Near Highway,4461,5,12658124
Wayanad,Residential Area,1069,6,4577927
Kasargod,Suburbs,2425,1,8365880
Ernakulam,Aluva,1451,3,8847307
Kasargod,Near Highway,2200,6,8208500
Idukki,Suburbs,776,3,2524741
Pathanamthitta,Near Highway,857,2,2717429
Thrissur,Ayyanthole,1286,1,4585915
Pathanamthitta,Residential Area,3710,2,12018056
Ernakulam,Kakkanad,4763,5,26803291
Trivandrum,Pattom,591,1,2396895
Palakkad,Residential Area,1392,1,3636576
Thrissur,Olarikkara,1915,6,9784317
Pathanamthitta,Near Highway,1544,3,5918048
Kozhikode,Nadakkavu,849,3,4347113
Ernakulam,Kakkanad,742,3,4537654
Malappuram,Rural Area,4883,3,16467533
Pathanamthitta,Rural Area,2094,5,7544672
Kasargod,Suburbs,1362,6,5585230
Malappuram,Rural Area,527,4,2344238
Alappuzha,Town Center,3153,1,7829586
Palakkad,Town Center,3971,5,13018750
Ernakulam,Kakkanad,3476,5,19530805
Kasargod,Near Highway,1012,1,3251845
Kottayam,Baker Junction,3272,1,12229094
Palakkad,Town Center,2998,5,10414103
Kasargod,Near Highway,4738,4,17327946
Wayanad,Near Highway,3955,2,12224488
Kozhikode,Beach Road,581,1,2121657
Alappuzha,Residential Area,1304,4,5104449
Kozhikode,Nadakkavu,1223,4,5790773
Trivandrum,Kazhakkoottam,2230,2,10478950
Pathanamthitta,Town Center,1426,1,3862538
Alappuzha,Residential Area,4898,6,15387161
Alappuzha,Rural Area,1820,5,7442882
Kozhikode,West Hill,2479,6,12553321
Idukki,Residential Area,2959,1,7298419
Pathanamthitta,Suburbs,1231,3,4367509
Kasargod,Residential Area,1938,2,5911231
Kannur,Near Highway,1104,4,5194317
Kasargod,Suburbs,4411,3,13395772
Kottayam,Nagampadam,2561,3,9244893
Kannur,Suburbs,821,3,3703634
Kannur,Town Center,1492,1,5282576
Alappuzha,Rural Area,2838,5,11048719
Malappuram,Near Highway,4176,4,12161256
Palakkad,Near Highway,2769,2,7834615
Kozhikode,Nadakkavu,1900,3,8218963
Kasargod,Suburbs,2006,6,7319154
Kasargod,Town Center,1052,4,3436905
Pathanamthitta,Town Center,541,2,1773246
Trivandrum,Pattom,4001,1,18124783
Pathanamthitta,Rural Area,4506,5,14303909
Ernakulam,Aluva,1090,4,6781429
Thrissur,Ayyanthole,4958,2,19670901
Ernakulam,Kochi,1377,1,7362522
Alappuzha,Town Center,1677,3,6065855
Trivandrum,Vellayambalam,942,5,4768255
Malappuram,Town Center,1820,2,5741523
Kottayam,Kanjikuzhy,562,1,2305971
Thrissur,Ayyanthole,3682,3,15005335
Wayanad,Near Highway,1216,6,6086507
Kollam,Suburbs,1010,4,4492374
Palakkad,Residential Area,1959,3,6787281
Kottayam,Kanjikuzhy,1551,2,6223595
Ernakulam,Kochi,4862,6,28038353
Pathanamthitta,Town Center,1527,4,5625012
Kozhikode,Beach Road,3521,3,14699702
Kannur,Rural Area,2666,3,8083206
Kottayam,Ettumanoor,4521,1,14151432
Malappuram,Residential Area,3203,2,9208171
Kozhikode,Beach Road,2174,6,10693173
Pathanamthitta,Near Highway,2797,1,7167599
Thrissur,Poonkunnam,1109,5,4959458
Idukki,Rural Area,4776,5,14125437
Idukki,Town Center,4589,3,12296823
Kasargod,Near Highway,4268,1,14117906
Kollam,Near Highway,2313,6,8325036
Ernakulam,Aluva,753,6,5659157
Pathanamthitta,Town Center,2996,6,10968603
Trivandrum,Kazhakkoottam,3116,6,13636734
Kozhikode,West Hill,2028,6,9389574
Idukki,Town Center,4923,1,13877548
Idukki,Rural Area,4976,4,15031672
Kozhikode,Nadakkavu,2231,3,10190671
Alappuzha,Residential Area,3411,6,12053152
Kannur,Town Center,1229,4,4168019
Malappuram,Town Center,2539,1,8607912
Kasargod,Near Highway,1052,5,3785969
Trivandrum,Kazhakkoottam,4422,3,19000001
Idukki,Residential Area,2412,5,8976847
Wayanad,Suburbs,3300,6,12281994
Pathanamthitta,Town Center,3958,2,11773440
Kozhikode,Mavoor Road,647,3,3690465
Thrissur,Swaraj Round,3499,6,14617033
Kollam,Near Highway,2489,6,8156728
Malappuram,Town Center,1498,2,4632196
Ernakulam,Kochi,2814,2,14270118
Trivandrum,Vellayambalam,2439,3,10623687
Malappuram,Town Center,3206,6,11669949
Alappuzha,Suburbs,1450,4,5688883
Ernakulam,Palarivattom,667,2,3644093
Ernakulam,Palarivattom,1664,1,7907682
Trivandrum,Technopark,3973,2,17663860
Idukki,Suburbs,1041,3,3144426
Wayanad,Town Center,2801,4,8889602
Wayanad,Rural Area,2576,4,10169778
Kasargod,Near Highway,4381,4,14404636
Palakkad,Residential Area,2001,3,6630953
Malappuram,Rural Area,4379,5,16066933
Palakkad,Rural Area,4415,5,12481179
Idukki,Near Highway,4033,2,13047267
Wayanad,Residential Area,3876,5,13784199
Idukki,Rural Area,2790,2,8912733
Palakkad,Near Highway,1874,1,6167827
Kollam,Near Highway,3297,1,11445110
Wayanad,Residential Area,1775,1,4641136
Kannur,Near Highway,2563,4,9329241
Malappuram,Suburbs,2745,5,9265420
Kozhikode,Mananchira,662,1,2168496
Pathanamthitta,Suburbs,4365,2,13364196
Kollam,Town Center,1132,2,4209496
Kottayam,Kanjikuzhy,536,4,3308882
Malappuram,Suburbs,1750,1,4716393
Kozhikode,Mananchira,4443,1,15844380
Pathanamthitta,Town Center,3974,3,12368535
Trivandrum,Technopark,4028,1,16725731
Kollam,Near Highway,3384,2,9479736
Kottayam,Nagampadam,595,3,2711606
Palakkad,Suburbs,2942,1,10161765
Kollam,Residential Area,1985,1,6233615
Wayanad,Near Highway,4961,4,16190032
Palakkad,Town Center,1592,6,7747883
Kasargod,Town Center,869,4,3650509
Kannur,Residential Area,2241,2,6661826
Alappuzha,Town Center,4241,1,11111611
Wayanad,Suburbs,3763,1,9702843
Wayanad,Near Highway,1283,5,4994862
Kasargod,Near Highway,3003,4,10033746
Kottayam,Ettumanoor,4413,4,18835345
Kannur,Suburbs,3160,3,8796707
Palakkad,Near Highway,2728,5,9519784
Wayanad,Residential Area,1693,3,6125665
Trivandrum,Vellayambalam,700,3,3694143
Alappuzha,Residential Area,3903,3,12725424
Ernakulam,Aluva,1304,2,6261502
Wayanad,Residential Area,1394,6,6741189
Malappuram,Residential Area,4265,5,15797934
Malappuram,Suburbs,2850,3,7746540
Kozhikode,West Hill,4252,2,18441433
Malappuram,Suburbs,4083,2,11629021
Palakkad,Suburbs,3127,6,12860970
Thrissur,Poonkunnam,3508,6,15699266
Ernakulam,Aluva,4948,4,28082859
Kozhikode,Beach Road,2166,3,8595305
Malappuram,Near Highway,1774,1,5602376
Kozhikode,Nadakkavu,1398,6,6908850
Palakkad,Residential Area,3691,5,13606554
Wayanad,Near Highway,3042,3,10782267
Idukki,Near Highway,894,3,3392899
Trivandrum,Kowdiar,2247,5,10732239
Kasargod,Near Highway,1127,6,5509649
Ernakulam,Kakkanad,2502,5,13275465
Pathanamthitta,Suburbs,2612,5,8878633
Idukki,Town Center,3190,3,11516374
Pathanamthitta,Town Center,4167,5,15052030
Kozhikode,Mananchira,4726,3,17455513
Trivandrum,Pattom,4111,6,22428560
Malappuram,Town Center,2545,3,9164363
Kasargod,Town Center,1570,2,5454390
Pathanamthitta,Near Highway,3170,3,9689873
Pathanamthitta,Town Center,1820,5,6487317
Ernakulam,Palarivattom,2629,6,15123355
Pathanamthitta,Near Highway,4915,1,14663228
Malappuram,Residential Area,3564,2,9524176
Alappuzha,Residential Area,2906,3,10656693
Ernakulam,Aluva,3408,4,19797839
Ernakulam,Kochi,4624,4,22250603
Kozhikode,Beach Road,1413,1,5818258
Kozhikode,Beach Road,2793,3,12175715
Palakkad,Near Highway,2431,6,9219035
Idukki,Suburbs,1658,4,5357847
Alappuzha,Town Center,4535,2,15572256
Kozhikode,Beach Road,1374,1,5530538
Kottayam,Nagampadam,1299,4,5244965
Idukki,Rural Area,4791,5,14388840
Palakkad,Rural Area,2882,1,8602849
Thrissur,Olarikkara,3211,3,11984949
Alappuzha,Near Highway,620,4,2644840
Wayanad,Suburbs,4852,3,16378793
Alappuzha,Near Highway,1906,3,6855655
